,name,id,location,org,media_type,rank,daily_avg_vlm
345,经济日报,290101,北京,经济日报报业集团,0，2，3,0,47.56802721088435
14,人民日报海外版,20500,北京,人民日报社,0,0,32.726190476190474
277,解放日报,230102,上海,上海报业集团,0，2，3,0,28.88095238095238
13,人民日报,20401,北京,人民日报社,0，4,0,26.360544217687075
156,新华日报,120100,江苏,新华报业传媒集团,0,0,14.36595744680851
337,光明日报,280101,北京,光明日报报业集团,0，2，3，4,0,5.944444444444445
64,南方日报,40101,广东,南方报业集团,0，2，3,0,1.8666666666666667
44,广州日报,30106,广东,广州日报报业集团,0，2，3，4,1,54.24149659863946
282,浙江日报,92001,浙江,浙江日报报业集团,0，2，3,1,25.122448979591837
501,长江日报,450101,湖北,长江日报报业集团,0，3,1,24.177474402730375
390,大众日报,330101,山东,大众报业集团,0，2，3,1,20.366935483870968
523,贵州日报,490103,贵州,贵州日报报业集团,0，2,1,16.328205128205127
136,河南日报,100103,河南,河南日报报业集团,0，2，3，4,1,14.225563909774436
421,湖北日报,360101,湖北,湖北日报传媒集团,0，1,1,12.386973180076629
496,济南日报,440101,山东,济南日报报业集团,0，3,1,12.126050420168067
448,湖南日报,380101,湖南,湖南日报报业集团,0，1，2，3,1,12.018433179723502
434,河北日报,370101,河北,河北日报报业集团,0，2，3，4,1,11.925764192139738
467,天津日报,400101,天津,天津日报报业集团,0，2,1,10.270916334661354
229,安徽日报,180101,安徽,安徽日报报业集团,0，2，3，4,1,10.040723981900452
242,海南日报,190101,海南,海南日报报业集团,0，2，4,1,9.732793522267206
90,北京日报,70101,北京,北京日报报业集团,0，2，4,1,9.162264150943397
414,重庆日报,350101,重庆,重庆日报报业集团,0，2，3，4,1,9.05511811023622
459,杭州日报,390101,浙江,杭州日报报业集团,0，2，3,1,9.026315789473685
474,黑龙江日报,410101,黑龙江,黑龙江日报报业集团,0，2，3,1,8.901709401709402
216,山西日报,170101,山西,山西日报报业集团,0，2，3，4,1,8.072398190045249
249,宁波日报,200102,宁波,宁波日报报业集团,0，3,1,7.313186813186813
519,西安日报,480101,陕西,西安报业传媒集团,0，2，3,1,7.136094674556213
267,成都日报,220100,四川,成都传媒集团,0,1,6.751173708920188
515,郑州日报,470101,郑州,郑州报业集团,0，2，3,1,6.6022727272727275
204,吉林日报,141100,吉林,吉林日报报业集团,0,1,5.864321608040201
147,沈阳日报,110100,辽宁,沈阳日报报业集团,0,1,5.664893617021277
310,宁夏日报,250101,宁夏,宁夏日报报业集团,0，2，3，4,1,5.13103448275862
209,长沙晚报,160101,湖南,长沙晚报报业集团,0，2，3,1,3.730964467005076
407,四川日报,340100,四川,四川日报报业集团,0,1,3.2722513089005236
377,辽宁日报,320101,辽宁,辽宁日报传媒集团,0,1,3.024154589371981
177,云南日报,130102,云南,云南日报报业集团,0，2，3,1,2.593582887700535
80,哈尔滨日报,60101,黑龙江,哈尔滨日报报业集团,0，2，3,1,2.189189189189189
303,陕西日报,240101,陕西,陕西日报报业集团,0，2,1,2.0754716981132075
505,南京日报,460102,江苏,南京日报报业集团,0，2，3,1,1.971830985915493
261,青岛日报,210103,山东,青岛日报报业集团,0，2,1,1.945945945945946
489,甘肃日报,430201,甘肃,甘肃日报报业集团,0，4,1,1.4772727272727273
483,福建日报,420101,福建,福建日报报业集团,0，3,1,1.2432432432432432
